Sequence ID	solubility	usability
buried_6_model_5_b0_d0	0.9021949412107412	0.5726725873850438
buried_6_model_5_b0_d1	0.901833407968326	0.5406648458002202
buried_6_model_5_b0_d2	0.801003324935438	0.3988875638642966
buried_6_model_5_b0_d3	0.9017288771472748	0.5398842256801032
buried_6_model_5_b0_d4	0.9013879270388048	0.5331014381901531
buried_6_model_5_b0_d5	0.8893631045302488	0.5749893971651666
buried_6_model_5_b0_d6	0.8864659006287294	0.5409443991266814
buried_6_model_5_b0_d7	0.9095938422950368	0.4522039870771895
buried_6_model_5_b0_d8	0.9039120267334484	0.5454677230948792
buried_6_model_5_b0_d9	0.8540590664975051	0.5335265718012372
