Sequence ID	solubility	usability
buried_2_model_2_b0_d0	0.8872512870037385	0.5126403522721279
buried_2_model_2_b0_d1	0.8931726217515514	0.4880108421514991
buried_2_model_2_b0_d2	0.8946431715245662	0.5289897600599753
buried_2_model_2_b0_d3	0.8843117479399624	0.514660668651135
buried_2_model_2_b0_d4	0.9090087383696588	0.5429594728723653
buried_2_model_2_b0_d5	0.8806504791356348	0.53056432990286
buried_2_model_2_b0_d6	0.8902872548005032	0.5530650159187009
buried_2_model_2_b0_d7	0.9266300174322272	0.6062744640826104
buried_2_model_2_b0_d8	0.8800424764107875	0.5212237158134536
buried_2_model_2_b0_d9	0.916009243969292	0.557358400009639
