Sequence ID	solubility	usability
buried_2_model_8_b0_d0	0.7398755947752186	0.3963724052227033
buried_2_model_8_b0_d1	0.7650372182711679	0.4015269811334889
buried_2_model_8_b0_d2	0.8565807954512568	0.4478041402766154
buried_2_model_8_b0_d3	0.7359870112797522	0.3717714178078722
buried_2_model_8_b0_d4	0.7822524084197698	0.4029098618290706
buried_2_model_8_b0_d5	0.7361525418162664	0.3884347223779033
buried_2_model_8_b0_d6	0.8037113654444104	0.4214242663798695
buried_2_model_8_b0_d7	0.7666440193793242	0.3964680770181524
buried_2_model_8_b0_d8	0.7878505775931434	0.386483946140173
buried_2_model_8_b0_d9	0.7130383576076532	0.3524995258225971
