Sequence ID	solubility	usability
buried_2_model_3_b0_d0	0.9172429029712592	0.6119911345839366
buried_2_model_3_b0_d1	0.9204246719373076	0.6449299834238468
buried_2_model_3_b0_d2	0.9190248054737868	0.6610735091837314
buried_2_model_3_b0_d3	0.909162407839214	0.6291522887019191
buried_2_model_3_b0_d4	0.915341210976048	0.6570749689067499
buried_2_model_3_b0_d5	0.9016947493342587	0.6467921975156021
buried_2_model_3_b0_d6	0.9204459414129266	0.6783007585130953
buried_2_model_3_b0_d7	0.9055350729445192	0.669350394820097
buried_2_model_3_b0_d8	0.9222217288847642	0.6507895638888327
buried_2_model_3_b0_d9	0.9228381170559772	0.678690270208994
