Sequence ID	solubility	usability
buried_2_model_9_b0_d0	0.8918991178587188	0.4823361910725665
buried_2_model_9_b0_d1	0.902665319931795	0.5224332832918558
buried_2_model_9_b0_d2	0.9204529693786488	0.516092618738838
buried_2_model_9_b0_d3	0.8572565033791797	0.3613284743318029
buried_2_model_9_b0_d4	0.8831369255647044	0.5387264679132789
buried_2_model_9_b0_d5	0.8638426808511468	0.4255139938146943
buried_2_model_9_b0_d6	0.8504932822481044	0.4172313016984277
buried_2_model_9_b0_d7	0.8607787832652978	0.4694708607362921
buried_2_model_9_b0_d8	0.914097240304339	0.5039585526132673
buried_2_model_9_b0_d9	0.8798686796414634	0.4491006646071094
