Sequence ID	solubility	usability
buried_5_model_7_b0_d0	0.8552464721798307	0.5671327278173597
buried_5_model_7_b0_d1	0.8993963219355177	0.5784491510899603
buried_5_model_7_b0_d2	0.8987174153196836	0.672807981565343
buried_5_model_7_b0_d3	0.9060224034434988	0.6356013728648334
buried_5_model_7_b0_d4	0.9198121297285974	0.6747430839937516
buried_5_model_7_b0_d5	0.9076290429270965	0.6630524325045547
buried_5_model_7_b0_d6	0.8628573060991096	0.5545330187332856
buried_5_model_7_b0_d7	0.8635609212399974	0.4926760513917095
buried_5_model_7_b0_d8	0.8865212612342864	0.5563004280622984
buried_5_model_7_b0_d9	0.9019236699172268	0.652521235080236
