Sequence ID	solubility	usability
buried_7_model_7_b0_d0	0.8770606474888609	0.3945297984365442
buried_7_model_7_b0_d1	0.905943388441707	0.4472474648142118
buried_7_model_7_b0_d2	0.8975394843963487	0.4806362985078166
buried_7_model_7_b0_d3	0.9062869204126074	0.5115842103206576
buried_7_model_7_b0_d4	0.8922033751035151	0.3687821691881784
buried_7_model_7_b0_d5	0.8983768994198134	0.4122617952572933
buried_7_model_7_b0_d6	0.8018702107003349	0.4520982283161981
buried_7_model_7_b0_d7	0.8054415077997714	0.3766063880559284
buried_7_model_7_b0_d8	0.8859229511313733	0.5937135745307397
buried_7_model_7_b0_d9	0.8805239906337432	0.4104039899832704
