Sequence ID	solubility	usability
buried_5_model_0_b0_d0	0.9076234466029998	0.6127715618935433
buried_5_model_0_b0_d1	0.8704096245399751	0.5678285490904149
buried_5_model_0_b0_d2	0.8849524840573219	0.5591704370595342
buried_5_model_0_b0_d3	0.902752308883562	0.6204582185260553
buried_5_model_0_b0_d4	0.8692654115885746	0.5402758487313125
buried_5_model_0_b0_d5	0.900560347025255	0.626215883676711
buried_5_model_0_b0_d6	0.8857614160696677	0.5597231200114055
buried_5_model_0_b0_d7	0.9009693690787096	0.5815690662176002
buried_5_model_0_b0_d8	0.8818998210177302	0.569019062416047
buried_5_model_0_b0_d9	0.8840613018246077	0.5630372885767063
