Sequence ID	solubility	usability
buried_3_model_7_b0_d0	0.8196826541114446	0.3972117650142178
buried_3_model_7_b0_d1	0.9051937589770486	0.6064580410854448
buried_3_model_7_b0_d2	0.8354289720177969	0.6115031319915988
buried_3_model_7_b0_d3	0.7201849374402102	0.4031106663978449
buried_3_model_7_b0_d4	0.7857601648772874	0.5152319523402749
buried_3_model_7_b0_d5	0.7884356254805391	0.490522630792834
buried_3_model_7_b0_d6	0.8640609034035466	0.5282140195491378
buried_3_model_7_b0_d7	0.8538492579966448	0.5408487646073689
buried_3_model_7_b0_d8	0.8943191180788839	0.6093620363758617
buried_3_model_7_b0_d9	0.7188009783295851	0.4561739545788438
