Sequence ID	solubility	usability
buried_5_model_3_b0_d0	0.7639194623507678	0.356373415051033
buried_5_model_3_b0_d1	0.7886635443542632	0.3840366864878872
buried_5_model_3_b0_d2	0.720315559940392	0.3781939475170427
buried_5_model_3_b0_d3	0.682566329721061	0.3001764826422638
buried_5_model_3_b0_d4	0.8267875485246801	0.4334414008737727
buried_5_model_3_b0_d5	0.7985792596545477	0.4166791613383995
buried_5_model_3_b0_d6	0.8815650220880993	0.5179464582154713
buried_5_model_3_b0_d7	0.8198985433257727	0.4352727695083104
buried_5_model_3_b0_d8	0.7931114629070308	0.3677526903288999
buried_5_model_3_b0_d9	0.7115746176940989	0.3104006201973278
