Sequence ID	solubility	usability
buried_2_model_9_b0_d0	0.9340828882231708	0.5383429129102668
buried_2_model_9_b0_d1	0.9363254250176808	0.5260176317154693
buried_2_model_9_b0_d2	0.8010117320499635	0.3879855034285288
buried_2_model_9_b0_d3	0.9118043148579588	0.4978966384733688
buried_2_model_9_b0_d4	0.8381441388190719	0.4402484297103413
buried_2_model_9_b0_d5	0.9017359808742242	0.4803046017309115
buried_2_model_9_b0_d6	0.9284549272833018	0.5619884706468599
buried_2_model_9_b0_d7	0.8354433723996717	0.4237611174232938
buried_2_model_9_b0_d8	0.9167664950918476	0.4973061635250779
buried_2_model_9_b0_d9	0.860029529284892	0.4326858885713614
