Sequence ID	solubility	usability
buried_1_model_5_b0_d0	0.7607299424196774	0.2906460865749072
buried_1_model_5_b0_d1	0.8139954932054276	0.3863810550248044
buried_1_model_5_b0_d2	0.7597355036265416	0.3302253180952342
buried_1_model_5_b0_d3	0.6884779567592415	0.354606165446207
buried_1_model_5_b0_d4	0.6776677678041356	0.2714411361850072
buried_1_model_5_b0_d5	0.668457199152779	0.2866406738362824
buried_1_model_5_b0_d6	0.6645797569522236	0.2678117049938436
buried_1_model_5_b0_d7	0.815938672096799	0.3478175621277188
buried_1_model_5_b0_d8	0.8101735380254077	0.3953255261512274
buried_1_model_5_b0_d9	0.7988387848002473	0.3282865103680754
