Sequence ID	solubility	usability
buried_4_model_0_b0_d0	0.7321562348497487	0.3866389961139226
buried_4_model_0_b0_d1	0.8001425933599926	0.40666577248028
buried_4_model_0_b0_d2	0.8034151239816474	0.4499443443636498
buried_4_model_0_b0_d3	0.8034755887944478	0.4832829842499732
buried_4_model_0_b0_d4	0.7815409675391145	0.4501057995475331
buried_4_model_0_b0_d5	0.7471391279888643	0.410438666838783
buried_4_model_0_b0_d6	0.786028719815985	0.4663510064703448
buried_4_model_0_b0_d7	0.7654022280483789	0.4240657298860347
buried_4_model_0_b0_d8	0.8292737968252485	0.499419138506416
buried_4_model_0_b0_d9	0.7722931057313268	0.4117816694948306
